id_situacion_terraza,desc_situacion_terraza
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
1,Abierta
